"date","smoothed_capacity"
2016-03-19,4579.67397260274
2016-03-20,4580.03287671233
2016-03-21,4580.39178082192
2016-03-22,4580.75068493151
2016-03-23,4581.1095890411
2016-03-24,4581.46849315068
2016-03-25,4581.82739726027
2016-03-26,4582.18630136986
2016-03-27,4582.54520547945
2016-03-28,4582.90410958904
2016-03-29,4583.26301369863
2016-03-30,4583.62191780822
2016-03-31,4583.98082191781
2016-04-01,4584.3397260274
2016-04-02,4584.69863013699
2016-04-03,4585.05753424658
2016-04-04,4585.41643835616
2016-04-05,4585.77534246575
2016-04-06,4586.13424657534
2016-04-07,4586.49315068493
2016-04-08,4586.85205479452
2016-04-09,4587.21095890411
2016-04-10,4587.5698630137
2016-04-11,4587.92876712329
2016-04-12,4588.28767123288
2016-04-13,4588.64657534247
2016-04-14,4589.00547945205
2016-04-15,4589.36438356164
2016-04-16,4589.72328767123
2016-04-17,4590.08219178082
2016-04-18,4590.44109589041
2016-04-19,4590.8
2016-04-20,4591.15890410959
2016-04-21,4591.51780821918
2016-04-22,4591.87671232877
2016-04-23,4592.23561643836
2016-04-24,4592.59452054795
2016-04-25,4592.95342465753
2016-04-26,4593.31232876712
2016-04-27,4593.67123287671
2016-04-28,4594.0301369863
2016-04-29,4594.38904109589
2016-04-30,4594.74794520548
2016-05-01,4595.10684931507
2016-05-02,4595.46575342466
2016-05-03,4595.82465753425
2016-05-04,4596.18356164384
2016-05-05,4596.54246575342
2016-05-06,4596.90136986301
2016-05-07,4597.2602739726
2016-05-08,4597.61917808219
2016-05-09,4597.97808219178
2016-05-10,4598.33698630137
2016-05-11,4598.69589041096
2016-05-12,4599.05479452055
2016-05-13,4599.41369863014
2016-05-14,4599.77260273973
2016-05-15,4600.13150684931
2016-05-16,4600.4904109589
2016-05-17,4600.84931506849
2016-05-18,4601.20821917808
2016-05-19,4601.56712328767
2016-05-20,4601.92602739726
2016-05-21,4602.28493150685
2016-05-22,4602.64383561644
2016-05-23,4603.00273972603
2016-05-24,4603.36164383562
2016-05-25,4603.72054794521
2016-05-26,4604.07945205479
2016-05-27,4604.43835616438
2016-05-28,4604.79726027397
2016-05-29,4605.15616438356
2016-05-30,4605.51506849315
2016-05-31,4605.87397260274
2016-06-01,4606.23287671233
2016-06-02,4606.59178082192
2016-06-03,4606.95068493151
2016-06-04,4607.3095890411
2016-06-05,4607.66849315069
2016-06-06,4608.02739726027
2016-06-07,4608.38630136986
2016-06-08,4608.74520547945
2016-06-09,4609.10410958904
2016-06-10,4609.46301369863
2016-06-11,4609.82191780822
2016-06-12,4610.18082191781
2016-06-13,4610.5397260274
2016-06-14,4610.89863013699
2016-06-15,4611.25753424658
2016-06-16,4611.61643835616
2016-06-17,4611.97534246575
2016-06-18,4612.33424657534
2016-06-19,4612.69315068493
2016-06-20,4613.05205479452
2016-06-21,4613.41095890411
2016-06-22,4613.7698630137
2016-06-23,4614.12876712329
2016-06-24,4614.48767123288
2016-06-25,4614.84657534247
2016-06-26,4615.20547945205
2016-06-27,4615.56438356164
2016-06-28,4615.92328767123
2016-06-29,4616.28219178082
2016-06-30,4616.64109589041
2016-07-01,4617
2016-07-02,4617
2016-07-03,4618.12602739726
2016-07-04,4619.25205479452
2016-07-05,4620.37808219178
2016-07-06,4621.50410958904
2016-07-07,4622.6301369863
2016-07-08,4623.75616438356
2016-07-09,4624.88219178082
2016-07-10,4626.00821917808
2016-07-11,4627.13424657534
2016-07-12,4628.2602739726
2016-07-13,4629.38630136986
2016-07-14,4630.51232876712
2016-07-15,4631.63835616438
2016-07-16,4632.76438356164
2016-07-17,4633.8904109589
2016-07-18,4635.01643835616
2016-07-19,4636.14246575342
2016-07-20,4637.26849315068
2016-07-21,4638.39452054794
2016-07-22,4639.52054794521
2016-07-23,4640.64657534247
2016-07-24,4641.77260273973
2016-07-25,4642.89863013699
2016-07-26,4644.02465753425
2016-07-27,4645.15068493151
2016-07-28,4646.27671232877
2016-07-29,4647.40273972603
2016-07-30,4648.52876712329
2016-07-31,4649.65479452055
2016-08-01,4650.78082191781
2016-08-02,4651.90684931507
2016-08-03,4653.03287671233
2016-08-04,4654.15890410959
2016-08-05,4655.28493150685
2016-08-06,4656.41095890411
2016-08-07,4657.53698630137
2016-08-08,4658.66301369863
2016-08-09,4659.78904109589
2016-08-10,4660.91506849315
2016-08-11,4662.04109589041
2016-08-12,4663.16712328767
2016-08-13,4664.29315068493
2016-08-14,4665.41917808219
2016-08-15,4666.54520547945
2016-08-16,4667.67123287671
2016-08-17,4668.79726027397
2016-08-18,4669.92328767123
2016-08-19,4671.04931506849
2016-08-20,4672.17534246575
2016-08-21,4673.30136986301
2016-08-22,4674.42739726027
2016-08-23,4675.55342465753
2016-08-24,4676.67945205479
2016-08-25,4677.80547945205
2016-08-26,4678.93150684932
2016-08-27,4680.05753424658
2016-08-28,4681.18356164384
2016-08-29,4682.3095890411
2016-08-30,4683.43561643836
2016-08-31,4684.56164383562
2016-09-01,4685.68767123288
2016-09-02,4686.81369863014
2016-09-03,4687.9397260274
2016-09-04,4689.06575342466
2016-09-05,4690.19178082192
2016-09-06,4691.31780821918
2016-09-07,4692.44383561644
2016-09-08,4693.5698630137
2016-09-09,4694.69589041096
2016-09-10,4695.82191780822
2016-09-11,4696.94794520548
2016-09-12,4698.07397260274
2016-09-13,4699.2
2016-09-14,4700.32602739726
2016-09-15,4701.45205479452
2016-09-16,4702.57808219178
2016-09-17,4703.70410958904
2016-09-18,4704.8301369863
2016-09-19,4705.95616438356
2016-09-20,4707.08219178082
2016-09-21,4708.20821917808
2016-09-22,4709.33424657534
2016-09-23,4710.4602739726
2016-09-24,4711.58630136986
2016-09-25,4712.71232876712
2016-09-26,4713.83835616438
2016-09-27,4714.96438356164
2016-09-28,4716.0904109589
2016-09-29,4717.21643835616
2016-09-30,4718.34246575342
2016-10-01,4719.46849315068
2016-10-02,4720.59452054795
2016-10-03,4721.72054794521
2016-10-04,4722.84657534247
2016-10-05,4723.97260273973
2016-10-06,4725.09863013699
2016-10-07,4726.22465753425
2016-10-08,4727.35068493151
2016-10-09,4728.47671232877
2016-10-10,4729.60273972603
2016-10-11,4730.72876712329
2016-10-12,4731.85479452055
2016-10-13,4732.98082191781
2016-10-14,4734.10684931507
2016-10-15,4735.23287671233
2016-10-16,4736.35890410959
2016-10-17,4737.48493150685
2016-10-18,4738.61095890411
2016-10-19,4739.73698630137
2016-10-20,4740.86301369863
2016-10-21,4741.98904109589
2016-10-22,4743.11506849315
2016-10-23,4744.24109589041
2016-10-24,4745.36712328767
2016-10-25,4746.49315068493
2016-10-26,4747.61917808219
2016-10-27,4748.74520547945
2016-10-28,4749.87123287671
2016-10-29,4750.99726027397
2016-10-30,4752.12328767123
2016-10-31,4753.24931506849
2016-11-01,4754.37534246575
2016-11-02,4755.50136986301
2016-11-03,4756.62739726027
2016-11-04,4757.75342465753
2016-11-05,4758.87945205479
2016-11-06,4760.00547945205
2016-11-07,4761.13150684931
2016-11-08,4762.25753424658
2016-11-09,4763.38356164384
2016-11-10,4764.5095890411
2016-11-11,4765.63561643836
2016-11-12,4766.76164383562
2016-11-13,4767.88767123288
2016-11-14,4769.01369863014
2016-11-15,4770.1397260274
2016-11-16,4771.26575342466
2016-11-17,4772.39178082192
2016-11-18,4773.51780821918
2016-11-19,4774.64383561644
2016-11-20,4775.7698630137
2016-11-21,4776.89589041096
2016-11-22,4778.02191780822
2016-11-23,4779.14794520548
2016-11-24,4780.27397260274
2016-11-25,4781.4
2016-11-26,4782.52602739726
2016-11-27,4783.65205479452
2016-11-28,4784.77808219178
2016-11-29,4785.90410958904
2016-11-30,4787.0301369863
2016-12-01,4788.15616438356
2016-12-02,4789.28219178082
2016-12-03,4790.40821917808
2016-12-04,4791.53424657534
2016-12-05,4792.6602739726
2016-12-06,4793.78630136986
2016-12-07,4794.91232876712
2016-12-08,4796.03835616438
2016-12-09,4797.16438356164
2016-12-10,4798.2904109589
2016-12-11,4799.41643835616
2016-12-12,4800.54246575342
2016-12-13,4801.66849315069
2016-12-14,4802.79452054795
2016-12-15,4803.92054794521
2016-12-16,4805.04657534247
2016-12-17,4806.17260273973
2016-12-18,4807.29863013699
2016-12-19,4808.42465753425
2016-12-20,4809.55068493151
2016-12-21,4810.67671232877
2016-12-22,4811.80273972603
2016-12-23,4812.92876712329
2016-12-24,4814.05479452055
2016-12-25,4815.18082191781
2016-12-26,4816.30684931507
2016-12-27,4817.43287671233
2016-12-28,4818.55890410959
2016-12-29,4819.68493150685
2016-12-30,4820.81095890411
2016-12-31,4821.93698630137
2017-01-01,4823.06301369863
2017-01-02,4824.18904109589
2017-01-03,4825.31506849315
2017-01-04,4826.44109589041
