"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PT","07.01.2017 02:00 - 07.01.2017 03:00 (CET/CEST)","0","480","151","0","0","n/e","1239"
"BZN|PT","07.01.2017 03:00 - 07.01.2017 04:00 (CET/CEST)","0","1121","75","0","0","n/e","1178"
"BZN|PT","07.01.2017 04:00 - 07.01.2017 05:00 (CET/CEST)","0","1327","66","0","0","n/e","1176"
"BZN|PT","07.01.2017 05:00 - 07.01.2017 06:00 (CET/CEST)","0","1373","78","0","0","n/e","1198"
"BZN|PT","07.01.2017 06:00 - 07.01.2017 07:00 (CET/CEST)","0","839","69","0","0","n/e","1311"
"BZN|PT","07.01.2017 07:00 - 07.01.2017 08:00 (CET/CEST)","0","847","192","0","0","n/e","1296"
"BZN|PT","07.01.2017 08:00 - 07.01.2017 09:00 (CET/CEST)","0","327","206","10","0","n/e","1315"
"BZN|PT","07.01.2017 09:00 - 07.01.2017 10:00 (CET/CEST)","33","273","491","11","44","n/e","1286"
"BZN|PT","07.01.2017 10:00 - 07.01.2017 11:00 (CET/CEST)","625","12","761","345","171","n/e","1218"
"BZN|PT","07.01.2017 11:00 - 07.01.2017 12:00 (CET/CEST)","197","110","765","252","259","n/e","1038"
"BZN|PT","07.01.2017 12:00 - 07.01.2017 13:00 (CET/CEST)","172","126","756","210","297","n/e","824"
"BZN|PT","07.01.2017 13:00 - 07.01.2017 14:00 (CET/CEST)","58","299","703","155","307","n/e","683"
"BZN|PT","07.01.2017 14:00 - 07.01.2017 15:00 (CET/CEST)","61","129","518","41","301","n/e","539"
"BZN|PT","07.01.2017 15:00 - 07.01.2017 16:00 (CET/CEST)","30","99","258","13","270","n/e","423"
"BZN|PT","07.01.2017 16:00 - 07.01.2017 17:00 (CET/CEST)","29","210","246","13","206","n/e","419"
"BZN|PT","07.01.2017 17:00 - 07.01.2017 18:00 (CET/CEST)","263","5","606","194","79","n/e","444"
"BZN|PT","07.01.2017 18:00 - 07.01.2017 19:00 (CET/CEST)","1373","4","1199","495","1","n/e","569"
"BZN|PT","07.01.2017 19:00 - 07.01.2017 20:00 (CET/CEST)","1556","4","1327","555","0","n/e","607"
"BZN|PT","07.01.2017 20:00 - 07.01.2017 21:00 (CET/CEST)","1298","2","1078","454","0","n/e","773"
"BZN|PT","07.01.2017 21:00 - 07.01.2017 22:00 (CET/CEST)","1265","1","1033","412","0","n/e","1072"
"BZN|PT","07.01.2017 22:00 - 07.01.2017 23:00 (CET/CEST)","566","6","775","242","0","n/e","1369"
"BZN|PT","07.01.2017 23:00 - 08.01.2017 00:00 (CET/CEST)","136","6","797","94","0","n/e","1539"
"BZN|PT","08.01.2017 00:00 - 08.01.2017 01:00 (CET/CEST)","405","4","759","137","0","n/e","1652"
"BZN|PT","08.01.2017 01:00 - 08.01.2017 02:00 (CET/CEST)","195","5","201","194","0","n/e","1698"
"BZN|PT","08.01.2017 02:00 - 08.01.2017 03:00 (CET/CEST)","0","65","146","1","0","n/e","1621"
"BZN|PT","08.01.2017 03:00 - 08.01.2017 04:00 (CET/CEST)","0","1145","28","0","0","n/e","1568"
"BZN|PT","08.01.2017 04:00 - 08.01.2017 05:00 (CET/CEST)","0","1127","40","0","0","n/e","1609"
"BZN|PT","08.01.2017 05:00 - 08.01.2017 06:00 (CET/CEST)","0","1355","25","0","0","n/e","1757"
"BZN|PT","08.01.2017 06:00 - 08.01.2017 07:00 (CET/CEST)","0","1438","112","0","0","n/e","1723"
"BZN|PT","08.01.2017 07:00 - 08.01.2017 08:00 (CET/CEST)","0","1726","206","1","0","n/e","1697"
"BZN|PT","08.01.2017 08:00 - 08.01.2017 09:00 (CET/CEST)","0","1481","209","78","0","n/e","1646"
"BZN|PT","08.01.2017 09:00 - 08.01.2017 10:00 (CET/CEST)","0","1041","287","73","41","n/e","1618"
"BZN|PT","08.01.2017 10:00 - 08.01.2017 11:00 (CET/CEST)","0","228","308","68","160","n/e","1540"
"BZN|PT","08.01.2017 11:00 - 08.01.2017 12:00 (CET/CEST)","0","156","400","23","248","n/e","1310"
"BZN|PT","08.01.2017 12:00 - 08.01.2017 13:00 (CET/CEST)","0","91","518","18","288","n/e","1064"
"BZN|PT","08.01.2017 13:00 - 08.01.2017 14:00 (CET/CEST)","0","65","348","13","302","n/e","803"
"BZN|PT","08.01.2017 14:00 - 08.01.2017 15:00 (CET/CEST)","0","51","212","14","304","n/e","626"
"BZN|PT","08.01.2017 15:00 - 08.01.2017 16:00 (CET/CEST)","0","702","288","59","267","n/e","498"
"BZN|PT","08.01.2017 16:00 - 08.01.2017 17:00 (CET/CEST)","23","504","297","60","196","n/e","487"
"BZN|PT","08.01.2017 17:00 - 08.01.2017 18:00 (CET/CEST)","488","19","452","189","75","n/e","637"
"BZN|PT","08.01.2017 18:00 - 08.01.2017 19:00 (CET/CEST)","1009","1","859","226","2","n/e","1073"
"BZN|PT","08.01.2017 19:00 - 08.01.2017 20:00 (CET/CEST)","1755","1","1144","475","0","n/e","1413"
"BZN|PT","08.01.2017 20:00 - 08.01.2017 21:00 (CET/CEST)","1353","1","1050","386","0","n/e","1480"
"BZN|PT","08.01.2017 21:00 - 08.01.2017 22:00 (CET/CEST)","1163","3","905","335","0","n/e","1677"
"BZN|PT","08.01.2017 22:00 - 08.01.2017 23:00 (CET/CEST)","822","6","806","362","0","n/e","1883"
"BZN|PT","08.01.2017 23:00 - 09.01.2017 00:00 (CET/CEST)","632","6","539","80","0","n/e","2009"
"BZN|PT","09.01.2017 00:00 - 09.01.2017 01:00 (CET/CEST)","139","46","340","48","0","n/e","2225"
"BZN|PT","09.01.2017 01:00 - 09.01.2017 02:00 (CET/CEST)","0","1433","98","0","0","n/e","2265"
"BZN|PT","09.01.2017 02:00 - 09.01.2017 03:00 (CET/CEST)","0","1572","49","53","0","n/e","2169"
"BZN|PT","09.01.2017 03:00 - 09.01.2017 04:00 (CET/CEST)","0","1658","25","2","0","n/e","2011"
"BZN|PT","09.01.2017 04:00 - 09.01.2017 05:00 (CET/CEST)","0","1840","22","0","0","n/e","1900"
"BZN|PT","09.01.2017 05:00 - 09.01.2017 06:00 (CET/CEST)","0","1878","22","1","0","n/e","1896"
"BZN|PT","09.01.2017 06:00 - 09.01.2017 07:00 (CET/CEST)","98","64","342","187","0","n/e","1807"
"BZN|PT","09.01.2017 07:00 - 09.01.2017 08:00 (CET/CEST)","1153","1","719","397","0","n/e","1686"
"BZN|PT","09.01.2017 08:00 - 09.01.2017 09:00 (CET/CEST)","1127","1","884","358","0","n/e","1656"
"BZN|PT","09.01.2017 09:00 - 09.01.2017 10:00 (CET/CEST)","1289","1","982","432","51","n/e","1581"
"BZN|PT","09.01.2017 10:00 - 09.01.2017 11:00 (CET/CEST)","1352","0","1149","500","182","n/e","1181"
"BZN|PT","09.01.2017 11:00 - 09.01.2017 12:00 (CET/CEST)","1263","1","1062","454","269","n/e","925"
"BZN|PT","09.01.2017 12:00 - 09.01.2017 13:00 (CET/CEST)","1184","1","963","337","306","n/e","658"
"BZN|PT","09.01.2017 13:00 - 09.01.2017 14:00 (CET/CEST)","1209","3","1050","312","317","n/e","365"
"BZN|PT","09.01.2017 14:00 - 09.01.2017 15:00 (CET/CEST)","1086","5","1113","354","310","n/e","301"
"BZN|PT","09.01.2017 15:00 - 09.01.2017 16:00 (CET/CEST)","698","5","1185","360","283","n/e","368"
"BZN|PT","09.01.2017 16:00 - 09.01.2017 17:00 (CET/CEST)","686","5","1086","359","223","n/e","519"
"BZN|PT","09.01.2017 17:00 - 09.01.2017 18:00 (CET/CEST)","999","5","1097","299","98","n/e","658"
"BZN|PT","09.01.2017 18:00 - 09.01.2017 19:00 (CET/CEST)","1660","1","1255","496","4","n/e","1043"
"BZN|PT","09.01.2017 19:00 - 09.01.2017 20:00 (CET/CEST)","1620","1","1193","472","0","n/e","1505"
